Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,3
25,4
26,5
27,4
28,9
29,7
30,5
31,11
32,15
33,15
34,16
35,13
36,19
37,13
38,10
39,16
40,9
41,10
42,14
43,18
44,13
45,11
46,17
47,9
48,7
49,10
50,10
51,19
52,14
53,7
54,18
55,13
56,9
57,9
58,9
59,15
60,12
61,7
62,6
63,10
64,8
65,16
66,8
67,11
68,4
69,5
70,6
71,13
72,6
73,0
74,9
75,4
76,6
77,6
78,7
79,15
80,9
81,8
82,8
83,8
84,7
85,7
86,6
87,9
88,6
89,3
90,8
91,10
92,8
93,4
94,11
95,3
96,4
97,4
98,7
99,5
100,4
101,3
102,6
103,7
104,5
105,7
106,6
107,5
108,4
109,4
110,8
111,8
112,4
113,12
114,6
115,9
116,4
117,5
118,8
119,6
120,5
121,5
122,3
123,7
124,10
125,6
126,9
127,7
128,4
129,10
130,5
131,5
132,6
133,4
134,8
135,2
136,8
137,8
138,2
139,2
140,2
141,4
142,5
143,7
144,4
145,2
146,6
147,3
148,7
149,7
150,9
151,3
152,5
153,8
154,4
155,4
156,2
157,2
158,2
159,5
160,5
161,4
162,8
163,8
164,7
165,5
166,2
167,8
168,10
169,2
170,7
171,4
172,10
173,3
174,6
175,3
176,7
177,2
178,8
179,2
180,2
181,4
182,3
183,7
184,3
185,7
186,7
187,3
188,3
189,5
190,4
191,0
192,3
193,1
194,4
195,6
196,3
197,4
198,4
199,3
200,4
201,5
202,0
203,4
204,5
205,6
206,5
207,4
208,3
209,4
210,7
211,7
212,3
213,5
214,3
215,1
216,0
217,5
218,3
219,5
220,5
221,4
222,6
223,4
224,2
225,2
226,2
227,11
228,2
229,2
230,3
231,1
232,1
233,6
234,2
235,8
236,8
237,2
238,4
239,3
240,3
241,5
242,3
243,1
244,3
245,6
246,2
247,6
248,5
249,1
250,4
251,3
252,4
253,0
254,3
255,3
256,5
257,3
258,4
259,5
260,1
261,2
262,2
263,1
264,2
265,3
266,2
267,3
268,0
269,5
270,0
271,2
272,5
273,3
274,1
275,2
276,2
277,3
278,1
279,3
280,1
281,2
282,2
283,3
284,4
285,3
286,2
287,5
288,4
289,2
290,3
291,0
292,3
293,4
294,3
295,4
296,4
297,1
298,5
299,2
300,3
301,2
302,4
303,2
304,3
305,1
306,2
307,2
308,1
309,1
310,2
311,2
312,1
313,0
314,2
315,2
316,6
317,1
318,1
319,2
320,2
321,0
322,1
323,1
324,2
325,0
326,5
327,3
328,5
329,6
330,1
331,2
332,2
333,2
334,1
335,2
336,4
337,3
338,1
339,4
340,3
341,0
342,1
343,2
344,2
345,4
346,2
347,2
348,1
349,3
350,1
351,2
352,1
353,7
354,4
355,2
356,2
357,2
358,2
359,1
360,1
361,3
362,1
363,2
364,0
365,3
366,1
367,2
368,2
369,2
370,4
371,2
372,1
373,2
374,3
375,2
376,1
377,1
378,2
379,1
380,0
381,0
382,4
383,5
384,0
385,0
386,2
387,3
388,1
389,0
390,4
391,0
392,3
393,1
394,4
395,2
396,2
397,4
398,2
399,2
400,3
401,1
402,3
403,1
404,1
405,4
406,4
407,3
408,1
409,7
410,0
411,1
412,2
413,3
414,1
415,1
416,3
417,4
418,1
419,2
420,2
421,1
422,1
423,3
424,2
425,4
426,1
427,3
428,0
429,2
430,3
431,2
432,1
433,2
434,1
435,1
436,5
437,3
438,5
439,4
440,2
441,4
442,1
443,3
444,1
445,2
446,3
447,2
448,1
449,3
450,3
451,1
452,1
453,2
454,3
455,1
456,4
457,3
458,1
459,2
460,3
461,3
462,3
463,2
464,3
465,1
466,3
467,1
468,2
469,3
470,2
471,4
472,4
473,1
474,4
475,4
476,4
477,2
478,3
479,1
480,4
481,2
482,3
483,2
484,3
485,7
486,5
487,6
488,3
489,2
490,1
491,3
492,3
493,7
494,1
495,0
496,1
497,1
498,2
499,0
500,1
501,5
502,4
503,4
504,1
505,1
506,1
507,3
508,4
509,1
510,2
511,2
512,2
513,4
514,0
515,3
516,4
517,1
518,1
519,2
520,2
521,3
522,3
523,1
524,5
525,1
526,2
527,0
528,4
529,0
530,4
531,4
