Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,2
25,7
26,10
27,10
28,13
29,23
30,21
31,16
32,23
33,17
34,13
35,15
36,18
37,20
38,16
39,20
40,24
41,24
42,21
43,12
44,14
45,14
46,16
47,20
48,16
49,17
50,16
51,21
52,17
53,20
54,12
55,14
56,13
57,16
58,14
59,17
60,12
61,19
62,16
63,21
64,18
65,8
66,21
67,16
68,16
69,12
70,10
71,18
72,19
73,17
74,12
75,12
76,13
77,16
78,11
79,14
80,16
81,12
82,15
83,17
84,9
85,17
86,13
87,16
88,12
89,12
90,16
91,9
92,16
93,10
94,8
95,17
96,13
97,19
98,16
99,13
100,10
101,10
102,10
103,14
104,13
105,13
106,10
107,11
108,12
109,8
110,6
111,12
112,14
113,11
114,6
115,13
116,8
117,12
118,17
119,14
120,12
121,14
122,13
123,9
124,8
125,17
126,7
127,5
128,12
129,11
130,9
131,20
132,12
133,12
134,11
135,7
136,9
137,6
138,14
139,11
140,10
141,8
142,11
143,10
144,8
145,10
146,7
147,9
148,9
149,6
150,5
151,9
152,7
153,8
154,9
155,2
156,10
157,5
158,6
159,6
160,9
161,8
162,11
163,6
164,9
165,7
166,6
167,12
168,3
169,6
170,1
171,11
172,10
173,8
174,12
175,9
176,4
177,3
178,7
179,8
180,9
181,6
182,7
183,7
184,4
185,9
186,6
187,7
188,8
189,4
190,9
191,4
192,8
193,2
194,6
195,6
196,5
197,6
198,8
199,2
200,6
201,7
202,6
203,5
204,11
205,7
206,4
207,4
208,7
209,4
210,7
211,6
212,6
213,3
214,4
215,1
216,5
217,5
218,8
219,5
220,7
221,2
222,6
223,2
224,3
225,4
226,7
227,6
228,4
229,8
230,4
231,5
232,7
233,4
234,5
235,3
236,2
237,5
238,5
239,4
240,6
241,5
242,6
243,8
244,10
245,3
246,5
247,2
248,4
249,2
250,4
251,3
252,4
253,2
254,4
255,4
256,4
257,9
258,3
259,0
260,5
261,6
262,6
263,4
264,0
265,4
266,4
267,2
268,1
269,3
270,1
271,6
272,5
273,2
274,9
275,2
276,4
277,5
278,2
279,1
280,2
281,0
282,4
283,0
284,2
285,4
286,3
287,4
288,2
289,5
290,4
291,5
292,5
293,3
294,3
295,4
296,2
297,2
298,2
299,2
300,1
301,3
302,5
303,4
304,7
305,3
306,2
307,2
308,0
309,6
310,3
311,2
312,1
313,1
314,1
315,1
316,5
317,2
318,4
319,3
320,1
321,3
322,3
323,6
324,5
325,3
326,3
327,6
328,0
329,1
330,3
331,3
332,3
333,1
334,2
335,2
336,4
337,4
338,4
339,5
340,1
341,7
342,2
343,2
344,3
345,1
346,2
347,1
348,3
349,1
350,2
351,0
352,1
353,4
354,7
355,2
356,0
357,2
358,0
359,6
360,1
361,2
362,1
363,3
364,2
365,4
366,2
367,1
368,2
369,2
370,0
371,2
372,2
373,1
374,2
375,2
376,2
377,3
378,2
379,3
380,0
381,3
382,1
383,3
384,3
385,3
386,4
387,2
388,3
389,4
390,5
391,3
392,7
393,4
394,3
395,3
396,8
397,7
398,6
399,5
400,2
401,2
402,1
403,2
404,0
405,3
406,1
407,3
408,3
409,3
410,1
411,1
412,5
413,4
414,1
415,3
416,4
417,3
418,2
419,2
420,4
421,2
422,3
423,2
424,1
425,2
426,3
427,4
428,1
429,2
430,5
431,0
432,1
433,3
434,1
435,1
436,2
437,1
438,0
439,1
440,2
441,3
442,4
443,6
444,2
445,3
446,2
447,3
448,1
449,1
450,2
451,1
452,2
453,6
454,1
455,1
456,6
457,1
458,3
459,3
460,1
461,2
462,2
463,0
464,3
465,1
466,0
467,0
468,1
469,2
470,3
471,2
472,2
473,0
474,3
475,0
476,0
477,2
478,1
479,2
480,5
481,2
482,1
483,0
484,1
485,1
486,0
487,3
488,0
489,2
490,3
491,3
492,1
493,3
494,4
495,1
496,3
497,2
498,3
499,1
500,0
501,0
502,2
503,1
504,0
505,2
506,1
507,2
508,0
509,0
510,0
511,4
512,2
513,1
514,5
515,0
516,4
517,3
518,1
519,2
520,3
521,1
522,3
523,0
524,4
525,2
526,6
527,1
528,0
529,4
530,5
531,0
