Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,4
26,2
27,3
28,7
29,8
30,12
31,4
32,6
33,6
34,6
35,6
36,6
37,12
38,8
39,2
40,8
41,3
42,9
43,3
44,7
45,4
46,13
47,7
48,8
49,8
50,10
51,3
52,5
53,8
54,7
55,5
56,9
57,7
58,7
59,8
60,8
61,3
62,7
63,2
64,7
65,2
66,7
67,4
68,6
69,4
70,6
71,6
72,8
73,6
74,11
75,8
76,4
77,4
78,6
79,4
80,6
81,8
82,6
83,6
84,8
85,0
86,6
87,7
88,4
89,5
90,3
91,5
92,6
93,3
94,1
95,10
96,1
97,7
98,3
99,6
100,8
101,10
102,6
103,5
104,1
105,6
106,7
107,10
108,4
109,7
110,0
111,3
112,2
113,5
114,3
115,10
116,5
117,3
118,0
119,6
120,4
121,3
122,7
123,2
124,5
125,2
126,3
127,4
128,3
129,5
130,3
131,4
132,6
133,3
134,2
135,2
136,4
137,3
138,3
139,8
140,4
141,5
142,4
143,4
144,6
145,5
146,8
147,2
148,2
149,2
150,4
151,4
152,3
153,2
154,4
155,3
156,2
157,4
158,2
159,1
160,7
161,4
162,6
163,3
164,4
165,8
166,1
167,3
168,4
169,6
170,5
171,4
172,2
173,3
174,6
175,1
176,3
177,1
178,2
179,1
180,1
181,4
182,4
183,7
184,5
185,6
186,1
187,4
188,4
189,2
190,5
191,5
192,2
193,2
194,5
195,6
196,3
197,3
198,8
199,6
200,6
201,5
202,4
203,4
204,3
205,3
206,1
207,4
208,4
209,4
210,4
211,5
212,2
213,11
214,4
215,4
216,10
217,11
218,33
219,44
220,85
221,123
222,134
223,150
224,130
225,111
226,63
227,32
228,22
229,9
230,13
231,11
232,10
233,10
234,7
235,7
236,6
237,10
238,8
239,5
240,6
241,7
242,12
243,10
244,15
245,19
246,21
247,28
248,26
249,21
250,17
251,15
252,6
253,3
254,1
255,5
256,3
257,3
258,2
259,3
260,2
261,1
262,2
263,4
264,3
265,4
266,1
267,2
268,2
269,0
270,1
271,1
272,1
273,1
274,2
275,1
276,4
277,1
278,1
279,0
280,1
281,2
282,5
283,2
284,0
285,4
286,0
287,3
288,1
289,2
290,2
291,2
292,1
293,3
294,0
295,2
296,1
297,1
298,2
299,0
300,1
301,2
302,2
303,3
304,2
305,1
306,0
307,0
308,1
309,1
310,2
311,1
312,0
313,1
314,0
315,2
316,1
317,3
318,0
319,1
320,0
321,0
322,2
323,2
324,0
325,0
326,0
327,1
328,0
329,1
330,1
331,1
332,1
333,1
334,0
335,2
336,1
337,0
338,2
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,0
349,3
350,2
351,1
352,2
353,0
354,2
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,0
363,1
364,0
365,2
366,0
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,1
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,2
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,3
407,0
408,0
409,0
410,1
411,4
412,0
413,2
414,0
415,0
416,2
417,0
418,1
419,0
420,0
421,1
422,1
423,0
424,2
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,1
433,2
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,0
443,1
444,2
445,0
446,1
447,0
448,0
449,1
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,0
470,0
471,1
472,1
473,1
474,1
475,2
476,1
477,2
478,0
479,0
480,1
481,0
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,0
492,0
493,0
494,0
495,3
496,1
497,2
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,1
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,1
514,1
515,2
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,2
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,0
