Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,4
25,4
26,7
27,7
28,19
29,13
30,21
31,18
32,14
33,16
34,11
35,13
36,15
37,19
38,31
39,22
40,16
41,14
42,13
43,15
44,19
45,19
46,8
47,13
48,18
49,19
50,21
51,10
52,11
53,11
54,12
55,12
56,14
57,10
58,19
59,7
60,13
61,7
62,13
63,13
64,9
65,11
66,11
67,10
68,8
69,18
70,14
71,6
72,7
73,10
74,4
75,12
76,13
77,9
78,7
79,11
80,11
81,10
82,9
83,18
84,2
85,14
86,9
87,15
88,8
89,6
90,9
91,11
92,12
93,14
94,10
95,10
96,6
97,6
98,11
99,5
100,3
101,10
102,4
103,7
104,4
105,4
106,11
107,7
108,8
109,14
110,8
111,7
112,10
113,4
114,9
115,4
116,3
117,11
118,4
119,8
120,2
121,4
122,8
123,8
124,6
125,3
126,9
127,6
128,8
129,11
130,8
131,11
132,5
133,4
134,9
135,6
136,3
137,5
138,7
139,8
140,3
141,5
142,5
143,13
144,5
145,6
146,3
147,8
148,2
149,5
150,5
151,2
152,6
153,10
154,4
155,7
156,6
157,7
158,3
159,5
160,4
161,4
162,6
163,8
164,6
165,2
166,7
167,6
168,4
169,3
170,10
171,4
172,3
173,5
174,6
175,5
176,6
177,9
178,2
179,4
180,4
181,5
182,5
183,4
184,6
185,5
186,6
187,6
188,3
189,6
190,4
191,6
192,5
193,5
194,6
195,5
196,4
197,7
198,3
199,5
200,6
201,6
202,6
203,7
204,3
205,2
206,4
207,8
208,2
209,5
210,7
211,7
212,0
213,3
214,5
215,5
216,1
217,1
218,5
219,5
220,6
221,3
222,4
223,3
224,2
225,3
226,2
227,8
228,3
229,1
230,3
231,8
232,4
233,3
234,4
235,5
236,8
237,3
238,1
239,4
240,4
241,7
242,1
243,3
244,2
245,4
246,8
247,8
248,6
249,5
250,4
251,7
252,3
253,7
254,6
255,2
256,3
257,5
258,3
259,1
260,5
261,3
262,3
263,2
264,1
265,2
266,2
267,4
268,8
269,5
270,6
271,1
272,2
273,0
274,4
275,7
276,3
277,5
278,9
279,1
280,7
281,8
282,0
283,5
284,5
285,9
286,5
287,1
288,4
289,5
290,4
291,4
292,3
293,0
294,6
295,3
296,2
297,2
298,3
299,2
300,4
301,2
302,3
303,1
304,2
305,3
306,5
307,6
308,6
309,3
310,1
311,2
312,3
313,5
314,1
315,4
316,1
317,3
318,3
319,4
320,7
321,4
322,3
323,3
324,1
325,1
326,3
327,2
328,2
329,2
330,3
331,4
332,3
333,4
334,7
335,2
336,2
337,1
338,1
339,0
340,4
341,1
342,3
343,5
344,3
345,2
346,5
347,4
348,2
349,1
350,3
351,1
352,4
353,4
354,3
355,3
356,4
357,4
358,4
359,3
360,1
361,3
362,2
363,4
364,4
365,3
366,3
367,2
368,6
369,1
370,2
371,2
372,0
373,3
374,3
375,6
376,4
377,1
378,2
379,3
380,5
381,6
382,7
383,1
384,3
385,3
386,4
387,5
388,1
389,6
390,0
391,3
392,3
393,3
394,1
395,2
396,2
397,6
398,4
399,2
400,6
401,2
402,2
403,1
404,5
405,6
406,4
407,2
408,4
409,4
410,5
411,5
412,6
413,5
414,4
415,1
416,4
417,3
418,4
419,5
420,5
421,3
422,2
423,1
424,0
425,1
426,1
427,4
428,4
429,3
430,5
431,0
432,1
433,1
434,5
435,5
436,5
437,4
438,4
439,7
440,6
441,7
442,3
443,3
444,3
445,6
446,2
447,3
448,5
449,4
450,6
451,8
452,2
453,9
454,3
455,5
456,4
457,12
458,2
459,5
460,7
461,10
462,7
463,12
464,8
465,8
466,9
467,9
468,6
469,8
470,8
471,15
472,5
473,14
474,13
475,9
476,14
477,27
478,42
479,54
480,89
481,171
482,257
483,351
484,465
485,555
486,590
487,631
488,640
489,581
490,494
491,445
492,435
493,342
494,307
495,272
496,284
497,249
498,211
499,223
500,158
501,122
502,87
503,70
504,45
505,32
506,28
507,15
508,8
509,7
510,6
511,7
512,3
513,8
514,6
515,5
516,4
517,0
518,5
519,5
520,4
521,3
522,2
523,4
524,0
525,3
526,6
527,2
528,3
529,3
530,8
531,3
