Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,4
27,5
28,7
29,16
30,13
31,8
32,9
33,11
34,12
35,6
36,9
37,12
38,13
39,11
40,5
41,8
42,7
43,14
44,6
45,7
46,11
47,8
48,7
49,6
50,5
51,11
52,8
53,10
54,5
55,11
56,9
57,9
58,10
59,8
60,6
61,16
62,11
63,4
64,11
65,11
66,6
67,10
68,9
69,15
70,6
71,10
72,9
73,5
74,9
75,5
76,8
77,2
78,4
79,6
80,4
81,6
82,7
83,6
84,6
85,4
86,8
87,6
88,7
89,4
90,6
91,5
92,11
93,6
94,6
95,12
96,7
97,5
98,9
99,8
100,7
101,6
102,7
103,3
104,5
105,2
106,4
107,9
108,1
109,7
110,7
111,1
112,2
113,6
114,6
115,3
116,8
117,4
118,5
119,7
120,7
121,4
122,7
123,4
124,6
125,4
126,7
127,6
128,5
129,4
130,7
131,8
132,12
133,2
134,14
135,5
136,4
137,3
138,8
139,4
140,7
141,4
142,2
143,10
144,4
145,5
146,8
147,4
148,3
149,3
150,7
151,4
152,3
153,4
154,7
155,7
156,7
157,3
158,7
159,2
160,3
161,6
162,4
163,2
164,5
165,3
166,6
167,7
168,5
169,1
170,3
171,4
172,9
173,7
174,2
175,9
176,8
177,5
178,12
179,7
180,3
181,6
182,6
183,5
184,4
185,6
186,7
187,3
188,3
189,2
190,3
191,7
192,5
193,8
194,7
195,4
196,7
197,8
198,4
199,5
200,4
201,7
202,10
203,4
204,4
205,4
206,5
207,2
208,4
209,7
210,6
211,4
212,3
213,7
214,4
215,5
216,8
217,3
218,5
219,1
220,7
221,1
222,2
223,3
224,4
225,2
226,2
227,4
228,6
229,1
230,2
231,5
232,2
233,2
234,4
235,1
236,6
237,4
238,1
239,2
240,5
241,0
242,1
243,5
244,2
245,3
246,0
247,7
248,1
249,0
250,4
251,2
252,3
253,2
254,3
255,2
256,3
257,1
258,4
259,2
260,2
261,2
262,2
263,6
264,4
265,1
266,1
267,1
268,4
269,0
270,3
271,3
272,4
273,2
274,4
275,4
276,0
277,1
278,3
279,2
280,1
281,2
282,2
283,1
284,2
285,4
286,3
287,2
288,3
289,4
290,0
291,2
292,4
293,4
294,1
295,3
296,5
297,0
298,2
299,2
300,0
301,5
302,1
303,1
304,3
305,1
306,2
307,1
308,2
309,1
310,2
311,3
312,3
313,3
314,1
315,2
316,0
317,2
318,1
319,3
320,3
321,5
322,4
323,2
324,2
325,1
326,1
327,0
328,3
329,1
330,0
331,1
332,1
333,2
334,2
335,1
336,0
337,3
338,2
339,1
340,3
341,3
342,4
343,2
344,4
345,1
346,2
347,0
348,3
349,4
350,1
351,2
352,3
353,2
354,7
355,4
356,4
357,5
358,3
359,2
360,7
361,5
362,5
363,6
364,18
365,33
366,39
367,74
368,126
369,201
370,308
371,389
372,354
373,387
374,374
375,273
376,208
377,118
378,101
379,81
380,77
381,87
382,70
383,75
384,57
385,49
386,53
387,31
388,21
389,21
390,12
391,9
392,6
393,3
394,1
395,3
396,3
397,2
398,1
399,3
400,0
401,2
402,3
403,3
404,2
405,2
406,4
407,3
408,9
409,7
410,9
411,18
412,27
413,46
414,62
415,89
416,66
417,86
418,78
419,62
420,41
421,53
422,35
423,35
424,20
425,10
426,19
427,22
428,12
429,19
430,10
431,4
432,5
433,6
434,6
435,3
436,5
437,1
438,1
439,3
440,1
441,0
442,3
443,1
444,1
445,1
446,1
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,1
460,1
461,2
462,0
463,1
464,1
465,0
466,1
467,0
468,1
469,0
470,0
471,2
472,0
473,0
474,1
475,2
476,1
477,0
478,0
479,0
480,2
481,0
482,0
483,0
484,1
485,1
486,2
487,0
488,0
489,1
490,0
491,0
492,2
493,1
494,1
495,1
496,1
497,0
498,2
499,0
500,0
501,0
502,1
503,2
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,2
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,2
530,0
531,2
